Episode,Date,Review
34,"Dec 23, 2020","Dokja saying that this time it will be more dangerous than when he sent them running straight towards the herd of enemies doesn't sound very encouraging, huh."
34,"Dec 23, 2020","Well, damn, Dokja seemed to be a bit more manipulative this episode.  He even brought up that one scene from the first few chapters, causing Jihye to relive some of her trauma.  But its cool to see a character that isnt trying to live up to an ideal, kind of gives me somebody to relate to more."
34,"Dec 23, 2020",Dokja got to sleep on the thigh of a character from his favorite novel 👌 
34,"Dec 23, 2020",i love how complimenting the muscles just brings him closer to awakening haha
34,"Dec 23, 2020","""Your muscles are awesome."" Can confirm, works every time"
34,"Dec 26, 2020",people are calling dokja manipulative and a few chapters ago they were calling him sociopathic but bruh. Everything he's doing is for his teams survival not his own. He even gave the girl that cloak and he's trying to bring their potential out so they get stronger as a team. He's just someone that's doing whatever it takes for him and the people he cares about to survive. 
34,"Feb 10, 2021","Dokja's facial expressions are 30% looking done with everything, 30% being angry/annoyed (mainly at Junghyeok), 20% acting like a shameless asshole, and the remaining 20% just sitting there looking pretty. And I 100% love him"
34,"Dec 23, 2020",Wow Dojka your new record. Manipulating 2 people in 1 chapter
34,"Dec 23, 2020","Btw, has anyone noticed that these dudes have been tolerating the smell of blood and rotting flesh for a while now? "
34,"Dec 23, 2020","I love how the other three were looking like, 'What is this rat bastard up to now, is it scam time on a team mate??', while KDJ was complimenting LHS. Even Sangah was looking weirded out and she's the nicest of them all lmao. "
34,"Dec 24, 2020","Dokja, please gift me your copy of TWSA for Christmas so when the new year comes, I'll be prepared. "
34,"Dec 24, 2020",I love the thigh pillow train they started 🤣💛
34,"Dec 23, 2020","I love how simple he is, ""Nice muscles"" (introspective begins) yeah they are nice, man thats probably enough to evolve into stage 2 dont you think constellations? I mean look at these juicy pecs. "
34,"Dec 23, 2020","Dokja: If there's no more rooms, then we'll... *Puts  on sunglasses*...make room. YEAAAAAAAA"
34,"Dec 23, 2020",Hyeonseong reminds me of a puppy ♡
34,"Dec 23, 2020",This webtoon is so good. Too far down the coin rabbit hole now folks
34,"Dec 23, 2020",{The constellation Webtoon Reader is upset that theres no more fast pass}
34,"Feb 10, 2021","Makes me wonder, if Gilyeong has lice, will he talk to them too?"
34,"Dec 23, 2020","Ahhh... man, I ended up seeking out the actual novel because of this lol. Take my coins you glorious madmen, take my sponsored coins. "
34,"Feb 10, 2021",Most WEBTOONs: I SHIP EM . THIS WEBTOON: I wonder how many people in totally they all will kill together
34,"Feb 10, 2021","I love Dokja's character. He's not your typical justice-over-all self sacrificing hero. He's really smart and calculated but isn't automatically classified as a nerd. He stands up for himself and won't take other people's crap, but isn't a complete jerk. It's refreshing and quite nice to find a character that doesn't just fall in line with every other protagonist. "
34,"Dec 23, 2020",Ooo potential new ally approaching? It's interesting to see how the outcomes change based on just the effect of our main character's existence too.
34,"Dec 23, 2020",I wanna know what he plans to use all his coins for... he specifically mentioned he saved enough... what is iiiiit
34,"Dec 23, 2020",That poor landlord doesn't even know he's about to be unacquainted with his teeth. I'm excited for this fight to happen!
34,"Dec 23, 2020",The Secretive Plotter constellation will gift this man 5000 coins if he keeps this up. He's a little too good at manipulation. 
34,"Jan 1, 2021",Your muscles are awesome! That’s all we ever want to hear
34,"Dec 23, 2020",This is a pay to read content now. I'm not disappointed 
34,"Dec 28, 2020",I love how there is technically two protagonists. I think might end up fighting. That would sooo cooll
34,"Dec 23, 2020","""Tonight could be even more dangerous than last night"" shit is about to go down."
34,"Dec 23, 2020",God I love this series
34,"Feb 10, 2021",Gilyeong napping on Dokja napping on Hyeonseong napping was adorable
34,"Feb 10, 2021","is it just me who misses the non-anglicized names and the honorifics? I miss seeing the ""-ssi"", ""hyung"", and their last names in front of their first names idk "
34,"Feb 10, 2021",Hyeonseong: My favourite song was green pine tree 😊   Huiwon: DiD I aSk?
34,"Feb 10, 2021",Every time I see Gilyeong my hurt just melts. He's too precious. Must protecc 🥺
34,"Feb 10, 2021","I keep seeing comments that Dokja is too OP but if you pay attention hes not, he's playing things smart, he plans ahead. He knows what he's doing. But that does not mean he's OP. Hes a awesome guy tho!"
34,"Feb 5, 2021","i dont know why so many people try to scold dojka on his recent actions because lol he's not here to live up to the classic mc role of being good and blah blah blah, he's a real(?) dude with, what seems, a very fucked up childhood that read a novel that became reality. at the end of the day he's going to do whatever is best to achieve the final of the novel in the real world"
34,"Feb 11, 2021",its like a dating sim game but we're just tryna cheer up one guy 
34,"Feb 10, 2021","Him being the protagonist of this story makes it more interesting considering the fact that he isn't good. I mean he isn't like those guys who always finds a way without resorting to violence or without breaking any law. Hes the type of person who many of us could relate to cuz he gets greedy, he pities, he sacrifices, he gets cold hearted and mean, he gets soft, he depend on other people, he helps, he destroy, he cares, and he survives "
34,"Feb 10, 2021","Wow I didn’t expect gilyeong to have his bug friends in his hair, also his “nice muscles” compliment 😂"
34,"Feb 10, 2021",“What the h*ll do you know?!” What Dokja thinks: “Literally everything about this world.” What he says: “Nothing of course.”
34,"Feb 10, 2021",okay but I think the relationship between Dokja and Hyeonseong is very cute and I love seeing everytime they interact with eachother 😌
34,"Feb 10, 2021","The comments are all about how Dokja is manipulative, but he's not trying to harm anyone by doing that. In fact, they benifit from it as they grow stronger & increase their chances of living. And most importantly remember that Yoo Joonghyuk the regressor would be ""manipulating"" them& recruiting them into his party had it not been for Dokja & he does this literally every one of his regressions"
34,"Apr 8, 2021","dammit I'm way too easily swayed by humble precious himbos like Hyeonseong. just one look at their faces that scream ""I... did something good? I'm useful? I will follow you to the ends of the earth."" and I'm already tearing up "
34,"Feb 10, 2021",Hyeonseong is such a precious puppy man and I love him
34,"Feb 10, 2021","As much as Dokja was pretty manipulative and this was quite a really tense episode, my head is just full of thoughts about Gilyeong sleeping on Dokja's thigh while Dokja is sleeping on Hyeonseong's thighs."
34,"Feb 10, 2021",she compliment him by comparing him to a pine tree😂
34,"Dec 23, 2020",{webtoon reader is waiting for their attribute *faster fast pass* to blossom}
34,"Dec 23, 2020",please just take my coins i dont need them
34,"Feb 15, 2021","Does anyone else think Dokja is like really hot?? No, just me? K."
34,"Feb 11, 2021",“Your muscles are awesome” *everyone likes that*
34,"Dec 25, 2020",I kinda feel bad for Jihye... she does seem like she was kind of like Gilyeoung before all hell broke lose but she didn’t have someone like Dokja to guide her 😔
34,"May 1, 2021","“Secretive Plotter wants to know about your mother” : So bro, your mother single orr?"
34,"Feb 10, 2021",I love how Gilyeong lets the bugs come onto his head. They’re just chilling in his hair. His skill is so cool. 
34,"Apr 7, 2021",Uwahhhh gilyeoung (dunno if i spelled that right) is sooo cute and him and dokja’s relationship is so wholesome 😖🥰🥺😭 
34,"Feb 11, 2021",Plot twist: we ARE the constellations
34,"Feb 11, 2021","I love how Hyenseong has become the team's Pokémon, they want to evolve him and everything"
34,"Feb 10, 2021","I really love Dokja as a character, many readers call dokja a manipulative person but that's not necessarily a bad attribute, considering he is doing it for the best of all of them, like I understand not many of you will call him a selfless person doing it for the greater good. At least not yet... "
34,"Mar 5, 2021","dokja is such  a well written character honestly, i love him sm, and  them trying to cheer up jonghyuk this ep was hilaroius and adorable xD huisong being like ""i didnt ask"" ahaha oh huisong,,,hyeongseong is so wholesome, poor guy looked like a sad puppy after huisong but im glad the others cheered him up"
34,"Feb 15, 2021","as far I know for celebrate dokja birthday, the fans in korea make and large ads in station at seoul and busan. even munpia, the novel publisher also celebrate dokja birthday by produce and design chocholate box with a lot of omniscient reader ornament inside it with singshong sign and price that I can't pay 😂 and its sold out only few days. now I saw that fans in korea made cafe that design just for dokja birthday. a lot of people really love dokja right 😊😊"
34,"Feb 11, 2021",I’m curious to see when our other girl is going to come out to complete our badass trinity 
34,"Feb 10, 2021","Ah Dokja is so cool and interesting. The way the story has built his character really draws you in whenever he does something. Also, I love Hyeonseong a lot. I'm really excited for his 'moment'."
34,"Feb 10, 2021",not them acting like gilyeongs parents aww
34,"Apr 29, 2021","Hyeonseong, you did very... WHALE 🐋 🤣😂 "
