Episode,Date,Review
41,"Feb 10, 2021",this is going to be a long week
41,"Feb 10, 2021",you can feel how powerful this story and the characters and will be 
41,"Feb 10, 2021",[The constellation 'Lazy Broke Weeb' flipped table for being distracted while counting the number of total ghost ships and is now have to count from the beginning again..] [5 coins have been sponsored.]        《Edit 02152021: HAPPY BIRTHDAY KDJ 🎂 !!》
41,"Feb 10, 2021","Dokja is being modest, while he abuses his knowledge for his own gain, he has saved people along the way. He hasn’t murdered any innocents in cold blood... "
41,"Feb 10, 2021","Man, I got chills when Jihye stood in the image of the Admiral"
41,"Feb 10, 2021",the contrast between dokja seeing these characters (to him) as people and the constellations seeing these people as only characters is very interesting and great storytelling.
41,"Feb 10, 2021","I feel that the use of history and fiction has always been a great plot point for most manga or stories, but to recreate it in a form that fits the background in a modern setting takes tremendous effort and I plead for the creator to keep up with  it"
41,"Feb 10, 2021","I understand why Dokja views himself as disgustimg and manipulative, but he is also a victim of situations. He just tries to stay alive, but his guilt doesn't allow him to see the good things he is doing for people as well. It's difficult, and I'm afraid that him being the reader will eventually get out 😭"
41,"Feb 10, 2021",i really like her character and i feel like dokja is gonna lead her down a better character development path than the original main character
41,"Feb 10, 2021","Can we talk about how it's not just the art that's stunning , but also also story writing, characters & dialogue? The detail on the ghost fleet panel blows my mind, it's so evocative."
41,"Feb 10, 2021","I really feel for Jihye...it's one thing to kill a room full of strangers, but to kill a room full of classmates & friends? Damn. Also, I loved how the artist drew her ghost fleet stigma awakening! So much better than how I imagined it. Dokja has such a great team full of potential"
41,"Feb 10, 2021","""insert song from mulan"" Lets get down to business!"
41,"Feb 10, 2021","Dude, i dont know about yall but my favorite constilation is ['Lazy Broke Weeb']. 
Edit: They are here."
41,"Feb 10, 2021","Oh thats just wrong, she got sucked into the favorite movie of her dead friend :-( i can never imagine the hurt and i can never imagine the ass whooping those troops are going to get. I feel for you girl."
41,"Feb 10, 2021",Jihye just sunk my battleship. 
41,"Mar 31, 2021","I love how the female characters here are allowed to have massive amounts of power and be the heroes of certain fights, even though the MC is male. I feel like in most anime/manga, the girls are always overshadowed by the boys, but here, every member of Dokja's team has a chance to show off their power"
41,"Feb 10, 2021",I swear if they don’t make this into an anime I will cry 
41,"Feb 10, 2021",The right to live isn’t something your given you must earn it while your still alive....Epic Dokja 
41,"Feb 10, 2021",These new and upcoming stories give me real hope for what MCs can be in the future. You don’t need moral high ground because most of us don’t and I think that makes stories like these seem authentic and organic 
41,"Feb 10, 2021","Man, I can’t wait to see higher levels of Ghost Fleet."
41,"Feb 10, 2021",That long panel with all the ships was amazing! This author has such great visuals 
41,"Feb 10, 2021","Woah her character evolution just ""WOW"""
41,"Feb 10, 2021",gosh darn teared up from this chapter 
41,"Feb 10, 2021","How many coins must I spend for the time machine? At this point it's not about money, it's about INSTANT GRATIFICATION. I WANNA READ IT ALL RN."
