Episode,Date,Review
88,"Jan 19, 2022",Ah finally... they get the matching coats. [Couple outfit: Unlocked]
88,"Jan 19, 2022","I knew he wouldn't betray bihyeong!!! He could probably instigate a coup in the dokkaibi realm if he wanted to 🤣 my man is Wholesome.EDIT: Holy wow, my first TC. Thanks y'all!!"
88,"Jan 19, 2022","Wait you can have multiple constellations???  I wonder if its because these constellations are all in one well known group they are all associated with.  And I wonder, are they all considered as one or is it considered as mulitple?"
88,"Jan 20, 2022",[The constellation 'Lazy Broke Weeb ' was hungry after all of those dramas and was glad that the channel wasn't harmed.] [The constellation 'Lazy Broke Weeb ' dropped its mug from the sudden ascension of a constellation.][5 coins have been sponsored.]
88,"Jan 19, 2022",I just also noticed....Dokja had issues conversing with 7 stars. Dokja. WHAT IN THE LIVING APOCALYPSE WILL HAPPEN TO SANGAH'S BRAIN?!!!!
88,"Jan 19, 2022",Not the constellations actually shipping Junghyeok and Dokja. Love that for them. 😭
88,"Jan 19, 2022",Bruh… which Olympian is possessing our Best Girl??! It better not be Fuck’s-on-Sight ZEUS. I swear to fuvk…
88,"Jan 19, 2022",The matching coats kinda had me screaming not gonna lie 
88,"Jan 19, 2022",There is a constellation who likes K-pop in the pop ups panels 😆
88,"Jan 19, 2022","Lol, a constellations who likes to gender bend"
88,"Jan 19, 2022",Love KDJ's iconic white coat and its contrast with YJH's black coat 
88,"Jan 19, 2022","If not canon, why matching coats, hm? Why always risking their lives to save each other, hmm? Why the love-hate brolationship, hmMm?"
88,"Jan 19, 2022",oh my god sangah is so cute and pretty even when she's crying
88,"Jan 19, 2022","Well, damn, she's got the constellations of an entire pantheon backing her? And a pantheon known for playing with mortals and then punishing said mortals when things don't go their way. "
88,"Jan 19, 2022","huh. Well, we now know WHY she got broken so quickly. "
88,"Jan 19, 2022",He must really cherish TWSA for him to remember every detail. I wish I am that focused with my life. Sigh
88,"Jan 19, 2022","Hello white coat, sadly goodbye kdj's exposed ass"
88,"Jan 19, 2022",Okay so no one is going to point out “Royal Nurse Who Lost Her Sense of Taste” is a clear nod to the K Drama Royal Jewel of the Palace?!?!?
88,"Jan 20, 2022","As someone who read the Webnovel, it’s so heartwarming to finally see Dokja-ssi drawn out with the white coat~ so iconic and symbolic showing the dichotomy in theme between him and Junhyeok-ssi
Thank you creator for getting this far and for making such a long chapter!!"
88,"Jan 19, 2022",Couple outfits.? Yes please 😳👉👈
88,"Jan 19, 2022",that man would be scary to be his friend I mean one minute gormet food next minute blade to the neck 
88,"Feb 11, 2022",i swear the demonic judge of fire is shipping them so hard 💀
88,"Jan 19, 2022","uuggghhhhh the coat was majestic!! i say better in black, but its so good on.him!! so good displaying in art form, great work author Olympus... man I hate them.. but theres one person from Olympus to trust, and no its not Zeus, those who read the book, knows, that person is damn awesome.."
88,"Jan 20, 2022",The last panel actually gave me chills 😭 this author’s style never ceases to amaze me 
88,"Jan 19, 2022",I thought Bihyeong was a panda in the thumbnail...
88,"Jan 22, 2022",We has gotta get this adapted into an anime
88,"Jan 22, 2022",Bless the artist for changing Dokja's entire outfit even though that was totally unnecessary. Man looks so good in a black shirt.
88,"Jan 19, 2022",WHITE COAT!! YEAAHHHHHH
88,"Jan 19, 2022","I’m just going to this, what happened dokja other sword?"
88,"Jan 19, 2022","""You'll find a sad-looking soldier."" Awwww Hyeonseong :c  ...but alsoooo DIONYSUS made an appearance, let's goooo!!! :D"
88,"Jan 19, 2022",The feels for Sangah were Real this chapter.
88,"Feb 23, 2022","Her knowledge of the gods, fables, legends,, and history in general is how they chose her...that's dope"
88,"Jan 27, 2022",the way sanga sat there and cried... that was powerful 
88,"Jan 19, 2022",The coat of infinite space that has limited storage. 
88,"Jan 19, 2022",the way the other characters keep making jokes about the two of them 🥸🥸🥸
