Episode,Date,Review
53,"May 5, 2021",[The constellation 'Lazy Broke Weeb' is currently throwing tables and is mad about the cliffhanger.] [5 coins have been sponsored. ]
53,"May 5, 2021","this man, this man right here just destroyed my expectations of this chapter in a brilliant way, I was not expecting this and now I am quivering in excitement. Edit: thank you to all of you for making this a top comment! send love to the creator and gift some coins to our favorite protagonist!"
53,"May 5, 2021","EDIT: They changed it back to King of No Killing, THANK YOU so much translator-nim!!  Aaahhhhh!!! This episode gave me chills!!! Same energy as 'You have become a ghost species' from ep. 32! ***spoilers in the replies*** "
53,"May 5, 2021","So... Dokja is impersonating Jungyeok, and someone else is impersonating Dokja. Wack."
53,"May 5, 2021",Dokja really pulled a suicide just to be a smart ass
53,"May 5, 2021","You know, you don't expect the MC to die 50 chapters in. One of the reasons I love ORV 😌 amazing plot twists, and THANK GOD WE'LL GET TO SEE DOKJA'S NORMAL FACE SOON "
53,"May 5, 2021","Immortal King is misleading, King of No Killing is a better description. Not saying it’s the best name, but Immortal King sounds a bit wrong"
53,"May 5, 2021","This is one of the many chapters I've been waiting to see adapted. Shame they changed his title to Immortal King, not quite how that one works while giving a bit of what it does away compared to King of No Killing. Besides, King of No Killing really hammers in what the condition needs to be, especially with later character responses."
53,"May 5, 2021","I won't spoil anything, I'd just like to say I'm glad everyone will get to experience the amazing world of Omniscient Readers Viewpoint. You all are in for a very long and exciting journey ☺️ (On par with ToG) "
53,"May 5, 2021","King of no killing makes more sense, please change it!-Edit “immortal king” would sound busted and more inciting than “king of no killing” right?"
53,"May 5, 2021",ok but Hyunsung and Heewon screaming for Dokja makes my heart hurt 😔😭
53,"May 5, 2021",at first I was like take all my money as a joke but I don't think is a joke anymore 
53,"May 5, 2021","Anyone else notice that the game of capture the flag isn't over, even though Dokja's completed the king's path? Chungmuro still hasn't taken their target station yet"
53,"May 5, 2021","Death Count, One! finally!! that said though while ""Immortal King"" sounds cool and all, the original ""King of No Killing"" really is much more appropriate given the limitations and conditions for his so-called ""immortality"" "
53,"May 5, 2021",Immortal King?? King of No Killing sounds so much better 😔😔 webtoon pls I'm begging you
53,"May 5, 2021","I wish they wouldn't change titles/words from the original so much. Like, ""Immortal King"" totally kills the suspense of this moment. I was SHOOK when this happened in the web novel bc ""King of No Killing"" doesn't give it away. I hope it at least has the same rules as king of no killing. Also, I want Gilyeong to call Dokja 'hyung' like he does in the novel. It's so precious 🥺"
53,"May 9, 2021",Kim Dokja Death Count: 1 
53,"May 5, 2021","I wish they had gone with ""King of no Killing"" instead of ""Immortal King"" The name ""Immortal King"" is far too misleading"
53,"May 5, 2021",DOKJA KIM NO! HE'S TOO HOT TO DIE😭😭😭
53,"May 5, 2021","Uhh, I don't want to sound harsh, but it'd be better if they changed 'Immortal King' title to the original, no? (King of No Killing) It makes more sense, and the former kinda gives it away :\"
53,"May 5, 2021","Yooooo what if the one who has read all of the series is the writer himself. Maybe he’s trying to lure dokja in to meet him himself, just a thought. Would be cool if it was true."
53,"May 5, 2021",King of no killing is so much better and it adds more suspense to the end of the chapter 
53,"Jun 23, 2021",Hmmm I prefer “King of No Killing” over “Immortal King”
53,"May 5, 2021",I bet 30 dollars that the real junghyeok will take care of chungmuro EDIT: um?? 
53,"May 5, 2021",How much you want to bet the King Prophet is actually the author of TWSA? He would be the only other one that would know the ending without showing up online as a reader besides Dokja 🤔
53,"May 5, 2021","Man dokja really just ran at a giant dragon so that he could get burnt, no matter how immortal he ends up being because of the 10 stations that's ballsy as hell and it probably hurts a bit anyways"
53,"May 5, 2021","I can not stress this enough when I say. ""What The Absolute FUCK!"""
53,"May 5, 2021","WAIIITTTT THEY CHANGED HIS TITLE!! His title should be ""King of no killings""......."
53,"May 5, 2021",immortal king vs shadow monarch....? thatd be sweet!
53,"May 5, 2021",Immortal King is somewhat even more misleading than King of No Killing...
53,"Jun 23, 2021","CORRECTION - Dokja never said ""should I sacrifice someone"" rather he said ""will someone have to be sacrificed"". These minor translation mistakes might twist Dokja's personality. Dokja is not ruthless killer TT TT"
53,"May 5, 2021",Immortal king... The original text is '불살(不殺)' It means you don't kill someone. The word that means immortal is '불사(不死)'. And junghyeok's skill 'tiger god aura'.... The original text means self-defense aura.
53,"Jun 23, 2021","kim dokja: survives a train car massacre, meeting yoo joonghyuk, 4 days inside a tier 8 monster without any food or rest (barely), a desperate, manipulated group of ppl with weapons, trauma, an endless horde of monsters without a green zone, surpressed mental breakdowns, a bunch of movies trying to kill him, FIGHTING YOO JOONGHYUK, a double ambush, and calmly walking into enemy territory TWICE. also kim dokja: dies by doing nothing and just standing there like a idiot"
53,"May 5, 2021","Screen: Ur dead.Dojka: Let’s goooo. Death is but another scenario. 
The team, prophets, constellations, dobaeki, the fandom, and then some: Wtf"
53,"May 10, 2021",Love how Dokja just called all there bluffs with I can die...but you can't afford for me to die.  Totally something Yu would do hah!
53,"Jun 16, 2021","Did they really just replace King of No Killing with Immortal King? This is a terrible change. It doesn't describe the perks and setbacks at all. 1: Immortal implies that he can't die, but he can. He just resurrects. 2: King of No Killing describes the biggest setback of choosing it while Immortal King would make most people think that it's ok for him to kill since in movies and such, immortals are usually displayed as the bad guys who have no problem killing."
53,"May 5, 2021","chapter 38 of waiting for yoo sangah in a black chinese dress and garter belt. also, they changed the kings name from King of No Killing to Immortal King, but it would make more sense if it was the original since he cant kill anyone now."
53,"Jun 23, 2021","This chapter was so hype, I'm still quite upset about ""King of No Killing"" being changed to ""Immortal King"" though,, It's kinda misleading. One of the reasons why Dokja was able to get such a title was because nobody wanted it since not being able to kill people can be really bad when it comes to the scenarios. However, if the title was ""Immortal King"" then surely someone would grab it, especially since they wouldn't know the conditions."
53,"May 5, 2021","The first time is always special 😇 and I prefere ""King of no Killing"" than ""Immortal King"" :("
53,"Jun 25, 2021","dear translators, you'll probably never see this but its ""No Killing"" 불살 (bul sal) and you translated it to ""immortal"" 불사 (bul sa).It looks like a small mistake but it changes a lot of things for the story and kills the suspense. "
53,"Jun 23, 2021","I really hope the translator would change the title 'Immortal King' to 'King of No Killing'. It's not just for aesthetic purposes or just for sticking with the novel, but Immortal King is a little misleading. It gives him a different vibe that won't translate as well in the future chapters. I won't spoil, but really, King of No Killing fits better with the upcoming narrative."
53,"Jun 23, 2021","Wth webtoon... At least ""King of no killing"" made you feel a smidge of doubt about whats going to happen. ""Immortal King"" makes it blatantly obvious."
53,"May 5, 2021","there goes Dokja-ssi rushing off on his own again without us 🙄 also hmm 'king of no killing' vs 'immortal king', doesn't that change the meaning of the effect?"
53,"May 5, 2021","my dude just hit them with a ""psh, nothing personnel kid"" and let that dragon torch them all. 10/10 outstanding move"
