Episode,Date,Review
27,"Nov 4, 2020",I love watching Dokja go from human and concerned about a traumatized child to protagonist who is analyzing a murdery-girl
27,"Nov 4, 2020","I love Gilyeong so much! I’m glad that he is in their group and can rely on Dokja. He’s also a great addition to the team, very smart and brave."
27,"Nov 4, 2020",Gilyeong drawing comfort from Dokja :’) it’s clear he seems to relate to him/is sympathetic in some way
27,"Nov 4, 2020","I feel like dokja has a similar trauma to gilyeong that's why he sympathizes with him so much, but on a lighter note I would gladly die for gilyeong like he's so precious for this cruel world"
27,"Nov 4, 2020","if you are reading this for free, hello, it is currently November 3rd, this chapter just released and everyone who also is with me today has made it to the point in the fast pass where we can't turn back. Please send help."
27,"Nov 4, 2020","gilyeong 🥺 I love this boy with my entire heart,,,also it looks like his mother was pretty abusive to him.. time to get out my bat :)"
27,"Dec 17, 2020",Y'know I noticed that Dokja pat's Gilyeong's head quite often (definitely took rereading the comic to notice) and it's always so heartwarming. I can't wait for the next ep!!! I love the characters!!!
27,"Nov 4, 2020",We're practically all constellations with how many coins we spend on this lol
27,"Nov 4, 2020",I love how Dokja Is like a big brother to Gilyeong. Its sad that He probably had the most traumatic past. Poor Gilyeong🙁
27,"Nov 4, 2020","i’m honestly thinking of pausing this webtoon so i can binge it a bit. who am i kidding, i can’t pause"
27,"Dec 23, 2020", I wonder how Junghyeok will react when he meets Dokja again 
27,"Nov 4, 2020",Gilyeong deserves all the hugs
27,"Nov 4, 2020",Can’t wait Till this gets a anime adaption 
27,"Nov 9, 2020","For some reason, Gilyoung just have some sort of charm that just draws my attention...... I guess in an apocalyptic scenario, children were more precious (must protect) than ever even if they were forced to psychologically mature faster than usual."
27,"Nov 4, 2020",Gilyeong is such a precious boy! I am so curious on how he levels up throughout this story. Hope we get some of his backstory in the future. 
27,"Dec 23, 2020","I almost cried when Gilyeong hugged Dokja, even though we didn't see what he was seeing you can tell he has been through so much even before the Apocalypse "
27,"Dec 23, 2020","Dokja is the best dad and NO ONE CAN CONVINCE ME OTHERWISE– also i felt like God Of Naval Warfare just walked into a room and Bald Leader was like ""WAZZZAAAAAAAHHHHH"""
27,"Nov 4, 2020","""Rewards will be calculated."" webtoons when the new episode releases and everyone uses the fast pass 😏"
27,"Dec 23, 2020","Gilyeong was definitely abused, he was pleading to his mother not to hurt him. Poor kid, he is such a good team member and good person, I love him."
27,"Nov 4, 2020",I ended up reading a lot of the novel cause of this webcomic and I'm so happy with the adaption 🥺🥺 this is *chefs kiss*
27,"Dec 23, 2020","[Constellation ""Disciple of the Fallen Archangel"" wants Incarnation Dokja Kim to adopt Incarnation Gilyeong Lee.]"
27,"Nov 4, 2020","I am far too deep into the hole, there is no escape, but I enjoy this mental torment"
27,"Nov 4, 2020",my baby boy G is the most traumatized 🥺
27,"Dec 23, 2020","I don't know how many people read the actual webnovel, but there are 551 chapters. Doesn't that mean this webtoon will be completed in 10 years if the same chapter division is followed and it's one episode per week?"
27,"Nov 4, 2020",Fourth wall protects our MC! XD 
27,"Dec 23, 2020","*wiping tears from cheeks* LiSTEN, I’M A SUCKER FOR BADASSES PROTECTING SMOL CHILDREN, OKAY-"
27,"Dec 23, 2020",Gilyeong probably got abused by his mom :c poor child.
27,"Nov 4, 2020",i would love to see this webcomic in an anime's adaptation or a physical comic! i really like the drawing 
27,"Nov 4, 2020",There's a point with fast pass where you're in too deep. No going back now.
27,"Nov 4, 2020","[constellation eager viewer, is excited to see how this character plays into the story]"
27,"Dec 23, 2020",She had to kill her closest friend...
27,"Dec 23, 2020","Okay but Dokja is so pretty like omg. The legs, the waist, dark hair dark eyes, THE LEGS. To die for."
27,"Dec 23, 2020","Gilyeong hugging Dokja was the most purest thing honestly. And I kinda have a good feeling about Jihye, I guess. If she joins them, I think it would be good for our gang."
27,"Dec 23, 2020",I'm surprised she killed her best friend out of everyone else in her class :/ Also I just realized this is a webtoon where fans arent shouting out ships every chapter😂
27,"Nov 4, 2020",waiting for the main character confrontation 
27,"Dec 23, 2020","dokja may say he's not necessarily growing attached to his party members/using them, but there is a very clear connection between him and gilyeong. similar traumas, even. don't spoil me in the replies, I'm only speculating"
27,"Dec 23, 2020","Dokja, Gilyeong is now your unofficial son. I do not make the rules, it is canon."
27,"Dec 30, 2020",I'm adopting Gilyeong
27,"Dec 24, 2020",She killed her closest friend? Dang
27,"Dec 23, 2020",Who else read this and automatically knew the top comments would have something to do with Gilyeong. Like the way Dokja treated him. HEARTSTRINGS!
27,"Nov 4, 2020",OR releases: BAM instant fast coin spend. You deserve it writer-kun! Now please don't forget me when the world ends 😅
27,"Dec 23, 2020",you know he said Secretive plotter isn't important but the frequency with which he appears points other wise 
27,"Dec 30, 2020","Okay, that's it. Protect Gilyeong at all cost!  😤 This brave and smart baby shouldn't have experienced and shouldn't experience that again! The way he relies and hugged Dokja, my heart- TT"
27,"Dec 23, 2020",Dokja x Gilyeong gives me oxygen 🥺
27,"Dec 26, 2020",Awww anyone notice that Huiwon’s traumatic experience was probably the guys that sexually assaulted her?😕
27,"Dec 23, 2020","I can't wait to see the look on Junghyeok's face when he sees our homeboi, Dokja alive and kicking."
27,"Dec 23, 2020",I absolutely adore Gilyeong and the relationship between him and Dokja 🥺🥺
27,"Jan 7, 2021",PROTECT GILYEONG AT ALL COSTS 
27,"Dec 24, 2020","""A curious constellation is sad that they did not get to peek into your past."" Literally the whole fanbase reading this episode"
27,"Dec 24, 2020",I want to give gilyeong a hug🥺
27,"Nov 4, 2020","Dear Mom, Its November 3rd when I'm writing this. I've gone too far into the fast pass to turn back. Please send toilet paper and coins.
Love,
Your very desperate son"
27,"Dec 30, 2020","I don't know who Gilyeong's mother is, but who wants to find her and steal both her knee caps with me??"
27,"Dec 23, 2020",wow this one is really great one. thanks creator 
27,"Dec 23, 2020","my precious wounded sword demon, you beautiful being, it's nice to see you"
27,"Nov 4, 2020",No-one:.....................Not even a single soul:................................. Everyone: WE WANT IT AS A MOVIE !! INDUSTRIES BE QUICK !!!! 
27,"Apr 27, 2021",i stan dokja and gilyeong's father-and-son relationship 😭 i better see gilyeong til the end of the story!!
27,"Dec 24, 2020",If gilyeong dies im suing whoever killed them
27,"Dec 23, 2020","At this point, Gilyeong is like Dokja’s son. Convince me otherwise."
27,"Mar 15, 2021",gilyeong is dokja’s child and i love it
