Episode,Date,Review
14,"Sep 9, 2020","Can someone release all the 3,149 episodes...I WANT TO READ THEM ALL!!"
14,"Sep 9, 2020","Bihyungs face at the end lmaoooo Edit: like my 3rd or 4th comment ever and i git top comment, ty ladsEdit 2: After the event this comment has just blown up in likes, appreciate it peeps"
14,"Sep 9, 2020",I'm really loving this so far. Idc bout the cost...take my damn coins
14,"Sep 9, 2020",i hate this... why do i always have to find amazing stories as they're starting??? now im forced to wait a week to watch the new episode. why must the stars torture me in this way
14,"Sep 9, 2020",One of them is making a deal with the devil....but which one is the devil?
14,"Sep 9, 2020",Bihyung is quite cute when he isn't being a murderous psycho
14,"Sep 9, 2020","Dokja: *gets eaten and about to be digested* | *Dokkaebi appears* | Dokja: Ah, so you are approaching me ( ͡° ͜ʖ ͡°)"
14,"Sep 10, 2020",I feel like the Secretive Plotter is just us readers in disguise.
14,"Sep 9, 2020",Dear creator I know I'm a single voice in a crowd but I want to say thank you for sharing your hard work beautiful art and suspenseful story I have yet to be disappointed so I will trust you fully to give and hold chapters for the most enjoyable reading experience ❤❤
14,"Sep 9, 2020",Little guy had the surprised pikachu face at the end there. 👁 👄 👁 
14,"Sep 9, 2020",[THE CONSTELLATION EXCITED READER GIFTS 100 COINS]
14,"Sep 9, 2020","I did not see that coming. making a contract with the streamer, talk about owning the game. this was a plot twist that twisted all of plot twist."
14,"Sep 9, 2020",[New skill acquired-negotiation] [New item acquired-pet Dokkaebi]
14,"Sep 9, 2020",Now that is an awesome way to use your power. Not everything has to be about a fight. The power of the mind has hardly ever been explored in comics like this and I’m very pleased with this so far.
14,"Oct 16, 2020","You know, aside for the murdering games, he is kinda cute."
14,"Oct 16, 2020","we love a clever main character, right? "
14,"Oct 16, 2020",The beginning of my man's scheming. Kim Dokja's first victim: Bihyung.
14,"Sep 9, 2020",When The author shows the amount of coins you we’re going to put into this
14,"Sep 9, 2020","""Do you want to be the best tiny furby lets play streamer? Just record my career bud I got all this on lockdown"""
14,"Sep 9, 2020",Okay... After reading the first few chapters i have been more than invested in this webtoon but now i think i'll be turning to the LN too cause this looks like masterpiece and as a big fan of Solo Leveling and Overlord i can't possibly not read it :3
14,"Sep 9, 2020",bihyung making the surprised Pikachu face lmao
14,"Sep 14, 2020",I kinda want a plushy of the little streamer dude
14,"Oct 16, 2020",Bro imagine the Pure Fear the dokkaebi must've felt when Dokja started talking like that -- it's like if a video game character turned to face the screen and started asking about your co-workers.
14,"Sep 9, 2020","gets eaten, looks a dokkaebi, ""so... we gonna party or sit here staring at each other?"""
14,"Sep 9, 2020",better and better....every chapter is better and better.....a week is too long now! respect to the artist and writer for this one. something that I can finally sink my teeth into and not be left unsatified....also wishing I could be a regresser so I would already know the story and get a chance to read it all over again!
