Episode,Date,Review
115,"Jul 27, 2022",AAAAAAAAAAAAHHHHHHHHHHHH IT'S THE CHINESE DRESS AND GARTER BELTS 😭😭❤️❤️❤️
115,"Jul 27, 2022",Yeonggi's so cute 😭❤️ He's a total beginner.
115,"Jul 27, 2022","*Mama Persephone makes here entrance* me: What is happening to me 🧍‍♀️...🧎‍♀️...🪑
edit: joke aside, don't forget to like this week's episode <3"
115,"Jul 27, 2022","PERSEPHONE OMG also Persephone as Sangah,,,🔥🔥🔥"
115,"Jul 27, 2022","I love the change of appearance here. Oh, I am referring to the way Dokja's clothing changes back to his elegant black outfit and white coat as soon as he steps into the banquet hall, of course. 😁"
115,"Jul 27, 2022","Man that hits deep, I almost forgot about the old lady in the first scenario to be honest. O_O"
115,"Jul 27, 2022","Daddy Hades, forgive my sins. I'm looking at your wife *RESPECTFULLY*"
115,"Jul 27, 2022",Mommy sorry mommy sorry 
115,"Jul 27, 2022","I get she’s like the queen of the underworld, but that’s just rude 💀"
115,"Jul 27, 2022",Listen you didn’t have to go that hard lady 
115,"Jul 27, 2022","If anyone's wondering, what the judges did was a test. They let go of Dokja before the ice finally reached his heart. "
115,"Jul 27, 2022",SHE'S HERE
115,"Jul 27, 2022",love that everyone's simpin
115,"Jul 27, 2022","Lower your head, the Queen of the Darkest Spring is here! ✨✨"
115,"Jul 27, 2022",The look on her face in that last panel is what really brings the whole thing together.  Not smiling was absolutely the best choice there 👌
115,"Jul 27, 2022",Persephone looking as Sangah in the legendary Chinese Dress and Garter Belts 🥵🥵🥵🥵🥵🥵🥵
115,"Jul 27, 2022","“Have fun in hell!” 😂 Fucking iconic, 13/10 will read again."
115,"Jul 27, 2022",I love the look of confusion that Namwoon has 😂
