Episode,Date,Review
79,"Nov 17, 2021",Hmm I admit they’re both suspicious. Better be safe and marry both of them 
79,"Nov 17, 2021","Sangah scares me because she really valued human life and didn't want to kill people until she realized that even a child was okay with it...now she takes out DOZENS of people like it's nothing. That kind of change is terrifying and a bit sad, although it is definitely necessary to survive. Damn...I wonder what exactly she had to go through "
79,"Nov 17, 2021","Always be wary of HR. First Toby becomes the Scranton Strangler, and you have Sang-Ah becoming a cutthroat assasin."
79,"Nov 17, 2021","[The constellation ""THE RED KING"" is excited that the female characters aren't relegated to healers and love interests, rather they are characters of depth with their own goals, identities, and reasons for fighting. 2000 coins have been sponsored.]"
79,"Nov 17, 2021","so i'm pretty sure the only reason people weren't becoming stronger was because dokja likes to finesse everything, alot of his actions involve work arounds and knowledge, so everyones growth was stifled abut in exchange they got knowledge which let them geow more effectively"
79,"Nov 17, 2021","Honeslty sangah worries me, she probably not even in the best mental state atm either considering how drastically she changed in a few days "
79,"Nov 17, 2021","Why all the women in this comic sus as hell, mc safer with the og mc who literally wants to one shot him..."
79,"Nov 17, 2021",Sangah became a certified badass in his absence... 
79,"Nov 17, 2021","[The constellation ""Lazy Broke Weeb "" was amazed on the the massive growth of the incarnation ""ysa"" and is now suspicious on its sponsor. ][The constellation ""Lazy Broke Weeb "" warns the incarnation ""kdj"" to not be distracted and focus on the upcoming disaster.][5 coins have been sponsored. ] //Edit: Merry Christmas guys 🎅"
79,"Nov 17, 2021",When you realize that technically KDJ's the only one in their 4 Man Band that's not in black 🤣
79,"Nov 17, 2021",Can we appreciate how great sangah looks for a second?
79,"Nov 17, 2021",On this week of “WHO’S THE IMPOSTER” we’ve got Sangah who hated killing a few days ago now mass murdering with maximum efficiency. [+5 coins]
79,"Nov 17, 2021",Love that last panel. Badass ladies ready to slay em allllll
79,"Nov 17, 2021",I want what happened to Sangah that made her kill people so easily. 
79,"Nov 17, 2021",What did Sangha GO through?? She looks like it’s been rough for her these past couple days. 😭😭
79,"Nov 17, 2021","Oh my, Sangah's outfit tho"
79,"Nov 17, 2021","wow the artists really give the Yoos the most badass entrance and coolest outfit huh. talking about good genes and playing favourite lol, not that I'm complaining though, each character have their own time to shine 😅 but damn those details on the color black is hella mesmerising, the overall art improved a lot too since episode 1! and I also love how the artists give each character their own details, it adds certain depth in the story"
79,"Nov 17, 2021",Holy crap! Looks like Sangha has enrolled in The Natasha Romanov School of Fashion and Kickassery 😁
79,"Nov 17, 2021",2 dangerous woman at dokja's command 😳😳
79,"Nov 17, 2021","I mean I think Dokja should be careful of them both, not just one lol these women could kill him at any moment "
79,"Nov 17, 2021","Ok. At the beginning of the comic, I knew the artist intended to make Sangah busty, but humble. This is just plain mobius curves I'm witnessing"
79,"Nov 17, 2021",I really hope Sangah stays true to Dokja...
79,"Nov 17, 2021",Sangah looks so tired though. Poor woman
79,"Nov 17, 2021",I LOVE STRONG WOMEN !!!
79,"Nov 17, 2021",I forgot how to breath for a second. 
79,"Nov 17, 2021",Is her constellation a greek hero? Theseus maybe. He used the thread before right? 
79,"Nov 17, 2021","man tbf its really hard to judge who's trustworthy, esp in an apocalypse"
79,"Nov 17, 2021","OK so now we know she has hermes as a constalation and the strong must be from hermeses lyre. she also uses daggers but for that im assuming it comes from the fact hermes ruled over wealth, good fortune, commerce, fertility, and thievery. it would explain everything else.  let it also be noted hermes is also very well known as a trickster"
79,"Nov 17, 2021",Someone sold her soul to the Devil It seems... Curious to find out!
