Episode,Date,Review
80,"Nov 24, 2021",I like the idea that Dokja can throw antagonists off by exposition dumping about their back stories haha
80,"Nov 24, 2021","Just gotta say, the illustrator knows how to make some of the best looking female characters I’ve ever seen"
80,"Nov 24, 2021","You really gotta wonder when people are gonna start picking up on the fact that Dojka knows too much. Regardless, the fact he’s able to utilize the knowledge he has like this is so insane!"
80,"Nov 24, 2021","“They make a good pair, but they talk like they hate each other.” Dokja sees in Sang-ah and Han what everyone else sees in him and Junghyeok."
80,"Nov 24, 2021",I love how Dokja is just meeting these guides one by one and pissing them off within minutes of meeting them.
80,"Nov 24, 2021","He insulted her like ""Do you know what you just did? Smh of course you don't"" I love him🤣"
80,"Nov 24, 2021","I think that kdj and yjh talk more to each other now that they have that message thing, like before they didn’t even have conversations "
80,"Nov 24, 2021","It be funny if Seolhwa falls for Dokja for saving her, and Junghyeok gets another reason to kill him"
80,"Nov 24, 2021","Dokja is completing scenarios, making companions, gaining attention of the constellations and making sure Junghyeok stays sane all at the same time. What a champ"
80,"Nov 24, 2021","Seolhwa's a beauty... but the fact that YJH said ""kill her"" breaks my heart. "
80,"Nov 25, 2021",[The constellation 'Lazy Broke Weeb ' likes the combination the incarnation 'ysa' and 'hsy'.][The constellation 'Lazy Broke Weeb ' says that demand for snickers is incredibly high.][5 coins have been sponsored. ]
80,"Nov 24, 2021","I absolutely need to know more, props to the author for making such a compelling story."
80,"Nov 24, 2021","KDJ: So justtt in case I get poisoned, lemme carefully collect a Plan B-"
80,"Nov 24, 2021",Dokja is basically a gamer playing RPG who read all the lore and storyline before hand. and now knows where to get the proper loot to help him help him fight the bosses he’ll face ahead.
80,"Nov 24, 2021",I like that he's appealing to her supporting constellation
80,"Nov 24, 2021",the tension between sangah and suyeong.. hello??? hello????????
80,"Nov 24, 2021",i live for the fleeting sangsoo moment of that one single utterly absolutely dazzling panel
80,"Nov 24, 2021","LEE SEOLHWA IS THE EX EVERYONE. Dokja be like: Damn, Junghyeok sure has a type..."
80,"Nov 24, 2021",I really wanna know what happened to Sangah 
80,"Nov 24, 2021",If this ever becomes an anime ima put everyone on it that I can that’s a promise.
80,"Dec 29, 2021",bro ngl that panel of seolhwa and junghyeok back to back/upside down is one of the most stunning panels in the comic so far I had to pause just to breathe 
80,"Nov 24, 2021",Dokja is big brain. 🧠
80,"Nov 24, 2021",First I cure yer girl. Then I steal yo gurl.
80,"Nov 24, 2021",i can’t tell if i should be attracted to her or terrified….
80,"Nov 24, 2021",HAN SOOYOUNG + YOO SANGAH + KIM DOKJA + YOO JUNGHYEOK  = L E G E N D S
80,"Nov 24, 2021",Sangah/Suyeong combi LET'S GOOOOOOOO
80,"Nov 24, 2021",I literally don't ship Kim Dokja with anyone. He's my S O N. He's M I N E.
80,"Nov 24, 2021",Can’t wait till our boy learns all the skills from the guides. 
80,"Dec 29, 2021",that panel of yjh and seolhwa with the flowers and gears would make suck a beautiful screen saver
80,"Nov 24, 2021",It would be nice if they added more fast pass episodes. I would spend coins 💰 lol
