Episode,Date,Review
43,"Feb 24, 2021",dokja just kinda exposed his self they all gonna be suspicious of him now
43,"Feb 24, 2021",Oh I really hope this tag team turns up to be the baddest duo since Khun and Bam
43,"Feb 24, 2021","I think there is Big Misstranslating here in Jonghyuk stigma it was ""Transmission lv 1"" not ""Reincarnation"" ... Yjh doesn't have reincarnation stigma (srry for my bad english)
note : They fix it! Thankyou translator-nim 🙏"
43,"Feb 24, 2021",Thanks for spoiling the entire plot Dokja. Appreciate it.
43,"Feb 24, 2021","THEY DID IT! They dropped the main image where they're sword v sword and he asks Dokja ""Who the heck are you?!""""AGHH IT'S ABOUT TO GET REALLL"
43,"Feb 24, 2021",[Achievement unlocked: Prolouge complete] 
43,"Feb 24, 2021",So...how many walls did he break?
43,"Feb 24, 2021",Dokja sounds like the best fan boy.
43,"Feb 24, 2021","The Joonghyuk angst & Dokja angst begins 🥺 This moment was so intense when I 1st read this in the novel so I wasn't expecting KDJ's face to look like that when he turned to look at YJH in disbelief after he heard him think he was alone 😂. Anyways, I am not ready for the upcoming rollercoaster of emotions this story puts you thru in the future. (The translation was a bit iffy in this episode. I don't remember ""aliens"" & YJH shouldn't have the reincarnation stigma) EDIT: Spoilers in the replies"
43,"Feb 24, 2021","junghyeok: WHO ARE YOUdokja :  lol i’m just all knowing, sunfish"
43,"Feb 24, 2021",Did we do it? DID WE REACH THE PROLOGUE!?!?
43,"Feb 24, 2021",I am... a READER
43,"Feb 24, 2021","as novel reader to see part how much TWSA and jonghyuk as the protagonist mean to dokja. when he awlays get bullied, when he didn't have any luck in his life. dokja read and watch jonghyuk struggle, to see how jonghyuk didn't give up to survive, give dokja power to keep survive in his lowlest life before. and it make me broke, my chest hurt and almost move on tears. it's tell us that even trivial things is so precious and have a lot of meaning to certain someone"
43,"Feb 24, 2021",Am I the only one who thinks this is one of the most powerful episodes yet? The art and story is just...amazing 👏
43,"Feb 24, 2021",Dokja used spoilers. It was super effective
