,Review
11,"""원작을 재밌게 봐서 만화도 구입했는데 각색이랑 그림도 완벽해서 재밌게 봤네요ㅠㅠ소설에서는 상상만 했던 묘사나 주인공들 표정을 만화로 보는 재미가 있었어요 ㅎㅎ소설이 현실이 된 세계에서 살아남기 위해 고군분투하는 주인공들이 인상깊었습니다. 초반이라 지하철에서 생명 죽여야하는 퀘스트, 그리고 지하철 벗어나는 그런 장면만 담겨있는데 웹소 흐름 제대로 따라가서 좋았어요."""
12,"""하나의 세상이 멸망하고 다른 세계가 태어나려 하고 있었다. 그리고 나는, 이 세계의 결말을 아는 유일한 독자다. 한 가지는 확실하다. 지금 이 글을 읽는 당신이 살아남을 거란 사실.전지적 독자 시점 1권 리뷰입니다 진짜 소설을 너무 재밌게 읽어서 웹툰으로 나온다는 소식에 넘 즐거웠고 재밌게 잘보고 있었는데 웹툰소장본도 있다니 진짜 넘 행복해요 제가 생각만 하던 이야기가 눈앞에서 그려지니까 볼떄마다 넘좋아요 """
13,소설을 읽지 않고 웹툰 단행본을 구매했는데너무 마음에 듭니다!!책 표지도 한 번도 만져보지 못한벨벳(?) 같은 특이한 소재여서 신기했는데지문이 좀 잘 묻어서 살짝 아쉬웠어요ㅠ무엇보다 그림체가 너무 제 취향이라 마음에 듭니다!!단행본 안에 포스터도 있어서 너무 좋아요!!또 내용 역시 흥미를 끄는 내용이라 다음 편이너무 기대됩니다.다음편도 꼭 구매해야겠네요!!!!!
14,전지적 독자시점 1슬리피-C 글그림/UMI 각색/싱숑 원저유명한 소설인건 알고있었는데네이버에서 연재중인것도 보고책도 구매하게 되었어요김독자 너무 좋아서..스토리그림 너무 좋네요 소설처럼디테일이 나와있는 원작을그리으로 만화로 그리기가힘들다고 들었는데 작가님 수고많으셨습니다 다음권도 기대해요우리중혁이 좀 더 넣어주세요 ㅋㅋ
15,사실 소설은 전혀 보지 못하고 해당 웹툰을 접하였습니다. 회귀물을 처음 접하였는데 아주 재밌게 보았습니다. 요즘이런 회귀물들이 아주많지만 단연 스토리도 탄탄하고 떡밥 회수도 잘하고 그림체도 좋고 단연 탑급 작품입니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다.
16,매니아층이 탄탄한 소설을 웹툰화 한다는것은 쉽지 않은 선택인 것 같습니다. 기존의 팬층을 납득시켜야하는 과정이 존재하기 때문인데요. 저는 소설 전지적독자시점을 읽지 않고 웹툰을 먼저 읽기로 결심했습니다. 왜냐면 초판부록을 꽤 빵빵하게 챙겨주더라구요. 종이책덕후는 초판부록이라면 놓치고 싶지 않습니다. 긴 예판시간을 지나 받아본 전독시는 생각보다 작화 퀄리티가 뛰어나면 재미난 스토리를 가지고 있습니다. 세상이 명망하고 또 다른 세계가 태어나는 그 과정을 유일하게 인식하고 결말까지 아는 인물인 ‘독자’ 가 주인공이라니 너무나도 신박하잖아요. 왜 인기가 많은지 납득이 갑니다. 웹툰으로 꾸준히 본 후 소설도 시간이 나면 읽어 볼 생각입니다.
17,"""소설을 먼저 읽고 웹툰을 읽었습니다.1권에는 싱숑님의 사인과 메세지가 들어 있습니다.싱숑, 싱숑 작가님, 아니 제가 소설 단행본도 받아보기 전에 웹툰 단행본부터 받았습니다.외전, 소설 단행본 기다리고 있어요, 작가님.개인적으로 그분이랑 걔랑 그들의 일상생활 외전 보고 싶습니다. 믿습니다 싱숑 사랑합니다 싱숑우리 독자랑 중혁이를 비롯한 모든 캐릭터를 만들어 줘서 고마워요 싱숑이렇게 세상에서 가장 재미있는 이야기를 써 주어서 행복해요 싱숑웹툰1권은 소설 진행을 생각보다 충실히 따르고 있었습니다.우리 귀엽고 사랑스러운 독쟈가 멸살법 완결나고 허전해하는 모습, 지하철이 갑자기 멈추고 세상이 유료화되는 모습 기타 등등이요.아니 그런데 우리 독쟈는 무슨 애가 이렇게 말랑하고 예쁜 걸까요.지하철이 멈추어도 소설이 현실이 되어서 도깨비가 나타나도 세상이 유료화가 되어도 제4의 벽의 영향으로 당황하지 않고 주위 상황 파악해서 자신이 해야할 일을 챡챡 해 내는데 하얗고 귀여운 녀석이 열심히 노력하는 모습을 보니 아주 그냥 기특해서 눈물이 다 납니다.진짜 어쩜, 그 상황에서 자기가 아는 지식을 그렇게 순식간에 머릿속으로 계산 다 끝내고 응용하고 그러냐고요.그 와중에 살릴 사람 살리고.우리 예쁜 독자야, 살릴 수 있는 사람이 한정된 그 상황에서 너 자신과, 너와 친분 있는 사람을 살리려는 그 반응은 사람이면 당연한 거고 너는 그 중에서도 착한 사람 맞아. 우리 천사...독자에게 독자가 사랑한다고 말한다. 사랑해 독자야!"""
18,""" SNS에서 하도 '전독시', '전독시' 하길래 어떤 내용의 작품일까 궁금했다. 원작은 웹소설인 것으로 알고 있는데, 얼마 전 단행본 만화로 출간되었길래 냉큼 1,2권을 구입해 읽어봤다. 읽어보니, 와... 역시 사람들이 재밌다고 입을 모아 말하는 데에는 이유가 있었다. 한국의 직장인, 취업준비생이라면 누구나 공감할 만한 현실적인 설정, 기발한 이야기 전환과 시원시원한 전개, 전형적이지 않은 인물들, 진지함과 코믹함의 완급 조절까지 작품의 모든 요소가 훌륭했다. (작화도 끝내준다!) 1권에선 주인공 '김독자'가 출근 도중 10년 넘게 나 혼자 읽어온 웹소설의 세계로 넘어가는 초반의 이야기가 그려지고, 2권에선 이 세계의 결말을 아는 유일한 독자로서 차례로 떨어지는 새 미션을 수행하는 이야기가 그려진다. 현실에선 미래에 대한 희망 없이 우울하게 살고 있는 내가, 새로운 세계의 모든 국면들을 헤쳐나갈 방법을 알고 있는 용사 내지는 영웅이라면 얼마나 기분이 짜릿할까. 그리고 그 세계에서 10년 전부터 동경하고 흠모해온 '그 사람'과 마주한다면...! 앞으로의 전개가 기대된다."""
19,네이버 웹툰 절때안보고 단행본 나올때까지 존버했습니다 1 2권 함께나온 5000권 파는 걸 사고 싶었는데 그때 사정이 여의치 않아서 1권만 사서 맛만 보려고 결제 했습니다  웹툰도 드라마도 애니도 영화까지 나온다는데 심지어 5편이나!!! 언제쯤 소설 양장본을 볼 수 있을지 의문이네요 그림체는 제취향은 아니라서 3권 표지로 한수영이 나온다면 구매의사가 늘어날거 같네요
20,"""드디어 전지적 독자 시점이 웹소설에서만 볼 수가 있었는데 이제는 만화책으로 출판이 되었습니다!! 원래 전지적 독자 시점이 만화로는 인터넷 상에서 나오고 있었지만 이렇게 책으로 나온 것은 이번 달 부터인것 같네요. 그런데 만화책으로는 그렇게 많은 편수를 담고 있지 않아 아무래도계속해서 읽기 위해서는 나오는 족족 구매를 해서 보아야 한다는 단점이 있네요, 줄거리를 소개해드리자면 누적 조회 수 1억 뷰,레전드 판타지 웹 소설 마침내 웹툰으로.총 연재 횟수 3,149회평균 조회 수 1.9회평균 댓글 수 1.08개10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.단, 한 사람의 독자를 위한 이야기다.[지금부터 메인 시나리오가 시작됩니다.]"""
0,전지걱 독자 시점 2아들이 타사에서 매일매일 하루 한편씩 업데이트 해주는걸 읽어보기에 책으로 소장하게 해주자 싶어 1권을 구매하고 읽어보고 재밌있어 이젠 아들보다 제가 더 좋아하게된 책이런 장르의 책을 읽어보지 않았는데 그림체도 생각보다 내 취향이다 어쩜 그림이 저렇게 리얼하고 그릴수있나 감탄에 감탄을 하면서 페이지를 한장씩 넘겨보고 있어요 내용도 내용이지만 삽화가 더 눈에가네요 이런 장르를 좋아하지 않는 독자도 빠져들게 되는 전독시 너무 재밌고 삽화가 좋아서 다음권도 주문했어요 소장추천합니다 이런책을 소장하고 재탕을 해야해요 한번 읽어볼때랑 재탕할때랑 느낌이 또 다릅니다 꼭 읽어보고 소장하시라 강추합니다
