,Review
42,판타지 소설을 전혀 읽어보지 않은 제가 몇날며칠 밤을 새가면서 읽었던 작품입니다. 처음에는 좀 오그라들었는데 뒤로 갈수록 그동안 작가님이 나도 모르는새에 무수하게 뿌렸던 떡밥들이 회수되고 주인공둘의 케미폭발로 제 인생작으로 등극했습니다. 웹툰은 그림체가 깔끔하고 웹툰에 맞춰 각색도 잘 되어있어서 원작팬들도 대만족중입니다. 원작의 분량을 생각했을때 웹툰도 아직 갈길이 멀지만 끝까지 함께 하겠습니다! 일단 읽기 시작하면 내려놓을 수 없는 마성의 작품입니다..
43,아직 소설로는 안 읽었고 웹툰 나와서 웹툰으로 봤는데작화와 스토리 진짜 오지고요 와 ㅎㅎㅎ너무너무 재미있어요 일단 시작하면 계속 계속 보게 되고다음편이 너무너무 궁금하네요정말 재미있어요왜 인기작인지 알 거 같아요웹툰 그림체도 너무 예쁘고 너무 재미있어요근데 부작용은 아직 책을 안 읽어서 더 보면 안되고웹툰은 완결날 때까지 묵혔다가 소설 다 보고 봐야되는데너무 재미있어서 그게 안된다는게 문제라면 문제지요 ㅎㅎㅎ정말 재미있어요 강추 합니다!!
44,"""하나의 세상이 멸망하고 다른 세계가 태어나려 하고 있었다.그리고 나는, 이 세게ㅖ의 결망을 아는 유일한 독자다.한 가지는 확실하다.지금 이 글을 읽는 당신이 살아남을 거란 사실. 놈이 온다.이 이야기의 진짜 주인공.나는 네놈을 좋아했고, 싫어했고,원망했고,응원했다.그렇게 3천 편의 이야기를 함께했다.  그 유명한 작품을 내가 읽게 되다니 감격스럽다. 그것도 초판한정으로.솔직히 노렸던 것도 아니고 목빠지게 기다리고 있었던 것도 아니었다. 예스 들어와서 검색하다가 너무 유명한 작품 제목이 보이길래 아무 고민없이 오~ 읽어봐야 겠다 싶어 결제버튼 눌렀다. 결제하고 보니 초판한정이고 5000명까지라는 문구가 보이더라눈. 와..살다보니 이런 행운도.2권까지는 이야기의 시작 단계라 등장인물, 그들의 능력 등등을 눈여겨 보는 정도로 끝냈다. 아무래도 시간을 두고 출간될 테니 다음 권들이 이어져 나오면 아마 다시 돌아와 확인하고 기억을 좀더 진하게 입히며 읽어야 되겠지.(내 짧고 얕은 기억력 탓임)난 아무래도 이 작품, 조만간 소설에 손을 대지 싶다.그림체나 내용 등등에 너무 만족해서 그런가? 소설로 읽어보고 싶다는 욕구가 마구 솟아나더라눈.그림체 너무 마음에 든다. 동작, 표정, 표현 어느 하나 마음에 들지 않는 것이 없다. 고급스러운 책 재질까지도. """
45,"""웹툰으로 먼저 알게 된 [전지적 독자 시점] 입니다.원작을 정말 잘 표현해 소설 못지 않게 재밌게 보고 있는 전독시라 단행본을 구매하지 않을 수 없었습니다. 그래서 예약판매 개시일에 대기 타서 떨리는 손으로 구매하고 기다림 끝에 받았는데, 기다린만큼 만족스러웠습니다.일단 중요한 특전이 랜덤이 아니라 전부 들어있어서 너무 좋았고, 전체적인 커버 디자인이나 재질도 좋았습니다. 빨리 다음권도 구매하고 싶습니다! """
46,"""                전지적 독자 시점 1~2권 합본 - 슬리피-C, UMI, 싱숑초판부록 갖고 싶어서 칼같이 예약했어영ㅋㅋㅋ 하아 내가 전독시 단행본을 웹툰으로 먼저 갖게 될 줄이야...ㅋㅋㅋ최근에 웹툰 연재하던 작품들 중 단행본 출간 된 거 여러 권 사 봤는데 확실히 메이저가 남다르긴 하네여... 종이 재질이랑 인쇄 퀄에 만족스러움ㅋㅋㅋㅋ 표지 재질이 좀 특이하네요걍 일반 종이 아니고 무슨 실리콘 패드 느낌임... 이런 건 처음 본 듯...ㅋㅋㅋ 암턴 연재도 달리며 차근차근 모아 보도록 하겠습니다.                """
47,"""문피아에서 원작이 연재할때 같이 달린 작품으로, 팬으로서 웹툰화 된 작품도 사서 읽어본다.애들이 움직이는 모습을 보니 더욱 새롭고 감명깊다. 편집이라던가 보면 좀 아쉽긴 하지만....그리고 그놈의 선착순 그만 좀 해라... 일 하는 와중에 선착순에 든다고 급하게 산 기억이 난다. 다행히 YES24는 순식간에 안나가서 다행이었지... 후.."""
48,싱숑작가의 전지적 독자 시점 소설을 재미있게 읽어서 웹툰도 나올때마다 재미있게 봤어요1~2권 단행본에 굿즈?로 나온 폰스트랩 나온다고하길래 바로 구매했어요 ㅋㅋ표지가 벨벳재질이고 내지도 빳빳해서 좋았어요~빨리 소설도 단행본으로 나왔으면하고 바라는 중이에요~ㅎㅎ생각하고있던 캐릭터들이 웹툰으로 나왔을때 생각보다 싱크로율이 높아서 놀랐어요상상하던 캐릭터 그대로여서 좋았어요
49,표지도 벨벳 소재에 내지도 엄청 빳빳하고 좋네요. 특전들도 예쁘고 좋아요. 포스터도 뜯기 어려운 것 빼면 이쁘고 좋습니다. 이거보다 더 비싼 값이어도 난 호구야 하면서 사고 배송 받고 사실 난 호구가 아니었어 하면서 만족할 것 같은 퀄리티네요. 내용이야 묻고 따질 필요도 없이 당연히 재미있고 출판사도 좋은 곳인 것 같아 만족입니다!! 단행본 내주셔서 감사해요!!
50,단행본 분량치고 비싼가격이라 좀 의아했는데 벨벳재질에 내지도 좋아서 비싼값 하는고같아요 2권 파손이 있었는데 빠르게 대처 받았습니다 폰스트랩은 아까워서 못 쓸거 같네요 전독시 웹툰 지금속도대로면 최소 70권은 나올거같은데 연재 끝날때까지 퀄리티나 사양 변함없이 단행본 내주셨으면 좋겠어요~ 너무 맘에 듭니다 전독시 웹툰 짱~~~~~~~~~~~~~~~~
51,"""                레전드 웹소설이 웹툰으로!1권하나의 세상이 멸망하고다른 세계가 태어나려 하고 있었다.그리고 나는,이 세계의 결말을 아는 유일한 독자다.한 가지는 확실하다.지금 이 글을 읽는 당신이 살아남을 거란 사실.2권놈이 온다.이 이야기의 ‘진짜’ 주인공.나는 네놈을 좋아했고,싫어했고,원망했고,응원했다.그렇게 3천 편의 이야기를 함께했다.                """
52,""" 누적 조회 수 1억 뷰,레전드 판타지 웹 소설 마침내 웹툰으로.총 연재 횟수 3,149회평균 조회 수 1.9회평균 댓글 수 1.08개10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.단, 한 사람의 독자를 위한 이야기다.[지금부터 메인 시나리오가 시작됩니다.] 종이책으로 꼭 소장하고 싶었던 것 중 하나.웹툰이 드디어 나와서 너무 좋다.소설로 읽었을 때도 좋았지만 확실이 그림이 있으니 읽을 맛 난다."""
53,싱숑 작가님의 판타지 소설 전지적 독자 시점의 웹툰 단행본 1~2권 세트 구입하여 읽은 후에 리뷰 작성합니다. 그림체부터 정말 마음에 들고 제가 원작인 소설을 읽으면서 상상해왔던 전지적 독자 시점 속의 캐릭터들과 싱크로율이 매우 높아서 보는 내내 만족감이 들었고 단행본도 망설임 없이 구입하였습니다. 판타지 장르를 좋아하시는 분들이라면 다들 이미 많이 들어본 작품일 거예요 강력추천합니다. 만족합니다 ㅎㅎ
54,전지적 독자 시점 소설 원작부터 읽기 시작해서 전독시 웹툰도 재미있게 보고 있었어요. 이미 웹툰으로 봤었던 내용이었는데도 실물책으로 보니 새롭고 재미있네요. 캐릭터 카드뿐만 아니라 포스터와 폰스트랩 특전까지 받아서 너무 좋네요! 포스터가 책 안에 들어가 있다보니 중간에 구김이 있는 점은 조금 아쉬웠습니다. 앞으로 나오게 될 다음 편들도 기대할게요~
55,"""                전지적 독자 시점 웹툰 단행본 1,2권 세트 리뷰입니다. 전독시 원작 팬이라서 웹툰도 재밌게 보고 있었는데 마침 단행본이 나왔다길래 얼른 구매했습니다. ㅎㅎ 웹툰이 원작을 잘 각색해서 보는 재미가 또 있네요~ 단행본도 퀄리티에 신경 쓴 티가 나서 좋았습니다. 특전도 다 좋은데 포스터?가 1권에 붙어있는게 좀 아쉽네요ㅠ 웹툰도 소설만큼 오래 연재될 것 같은데 작가님들 힘내시길 바랍니다                """
56,소설도 너무 재밌게 읽었고 웹툰도 잘 나온 것 같습니다. 폰스트랩 평소에도 애용하는데 특전으로 있길래 얼른 구매했어요. 이거 완결까지 책 다모으면 얼마나 들지 문득 궁금하네요.. 원작 소설도 종이책 출간되면 좋겠습니다. 웹툰 단행본 구매는 처음인데 뭔가 책이 되게 자국 잘 남을 것 같이 생겼네요. 아무래도 이 책보다는 모바일로 읽어야겠어요. 그래도 잘 구매한 것 같습니다.
57,전지적 독자 시점이 웹툰까지...! 소설 보던게 엊그제 같은뎋ㅎㅎㅎㅎ 이번에 온 만화 표지는 느낌이 신기해요. 그 마우스 몰랑한 표면 느낌이에요ㅋㅋㅋㅋ 그런데 표지가 살짝 떠요. 세워놓으면 벌려져서 눕혀놨네요. 캐릭터 카드도 좋고 폰스트랩은 제가 생각한 거랑 다르더라고요. 열쇠에 걸어놓고 다니는 건 줄... 그래도 만족스럽습니다~~~~ 좋아요
58,"""                꽤 신경써서 만들어주신 티가 납니다. 일단 단행본의 감촉(?)에서부터 인상 제대로 남겼구요, 웹툰에서 단행본으로의 편집술도 상당한 것 같습니다. 적절한 몰입도, 마음에 쏙 들어요.운좋게 폰스트랩 한정판도 손에 넣어서 기분이 좋습니다.폰스트랩의 개별포장도 신경써서 만들어주셨고, 바로 시판해도 손색이 없을 정도였습니다. 저는 처음 사용해봤는데 꽤 편하더라구요. 외부에서도 조용히 덕질하기에는 최고의 아이템입니다. 디자인도 마음에 들어요. 다음권도 기대됩니다."""
59,전독시 막 입덕 한 지 얼마 안 있어 단행본 소식 듣고 두근거리며 선착순5천명에 들기 위해 손 벌벌 떨며 결제했습니다ㅋㅋㅋㅋ단행본 배송온다능 소식에 아무것도 손이 잡지못하고 탁배기사님만 기다렸습니다.받자마자 그저 감탄만...스트랩하며 포카하며 책 소재하며 무엇하나 빠지는거 없습니다..살까말까 고민하는 분이 계신다면 묻지도말고 따지지도말고 꼭 사세요. 볼때마다 전독시 뽕 찹니다
60,처음 보는 책인데 인기 있어서 구매해 봤어요. 근데 연출이나 그림체가 확실히 좋더군요. 인터넷 연재 중인 웹툰을 단행본으로 내면 어색하거나 잘못 편집하는 경우가 많은데 출판사 측에서 많이 신경을 썼는지 크게 거슬리는 부분도 없었습니다. 갠적으로 여캐 등장하는 걸 좋아하는데 후속권에는 많이 나오면 좋겠네요. 중요하다던 그 캐릭터도 등장하길 기대하고 있습니다.
61,기다리고 기다렸던 웹독시 단행본 잘받았습니다.매번 여기서 구입하는데. 배송은 언제나 만족입니다.단행본 내시면서 컷들도 세세하게 배치랑 수정도 잘해주셔서 놀랬어요.웹툰 작가님이 신경 많이 써주신듯해서 더 좋았던거같아요.감사합니다.전 만족합니다만. 다른 구매자분들은 파본이 많았던거같은데. 검수를 안하신건지요.랩핑 전에 찌그러짐과 찍힘. 브로마이드 찟어짐도 있더라구요.
62,상태도 양호하고 내용도 딱 잘왔네요 기다리던 보람이있네요 정말 최고입니다 책 표지가 다른 책들과 다르게 부드럽고 단행본 내 칸들도 알맞게 잘있는거같아요 폰 스트랩도 너무이뻐 쓰기 아깝네요 브로마이드가 조금 아쉽긴하지만 그거 이외에는 흠잡을게 없이 최고인거 같네요 한정판 구매 못하셨더라도 꼭 단행본 구매하시길 바랍니다 진짜 너무 아름답네요 사실 이미 다 알고있는 내용이긴하지만 만화책으로 또 보는 맛이있더군요 아무튼 정말 최고입니다.
63,아까 택배온 전독시 특별편을 뜯어봤는데모서리랑 겉표지부분이 찢어져서 왔습니다.처음 박스를 보니까 찢어져 있었는데 혹시 했는데 찢어져 있었습니다.특별편이라 교환이 안된다는데 어떻게 해야되나요.특별편 1권에 있는 브로마이드가 일반판에도 있으면 일반판1~2권 세트로 교환이 될지 궁금합니다.아직 읽지 못했고 빨리 교환되어서 읽고싶습니다
64,뭐 내용이야 말할 것도 없고 재질 너무 맘에 드네요. 브로마이드가 1권 앞쪽에 붙어 있는 건 좀 아쉽지만 퀄리티 좋고요. 폰스트랩도 퀄리티 너무 좋네요. 근데 2권 포토 카드에 이길영 배후성 없음이라고 되어있는데 이게 현재 웹툰 시점에서 공개되지 않았을 뿐 배후성은 있는데(웹툰 32화에서 김독자가 잘 안들린다 할 때 모자이크 처리해서 언급되기도 했고요) 그 부분은 ???로 적어둔 게 아니라 없음이라 적어둔 게 조금 아쉽네요. 전반적으로는 좋았습니다.
65,"""진짜 소설 다 보고 만화 단행본 1시 40분에 알람 맞춰두고 대기 타다가 55분부터 새로 고침 반복하고 그러다가 2시 땡 되서 샀는데 폰스트랩 포함 안 되어 있는 줄 알고 깜짝 놀랬다죠ㅠㅠ 웹툰이라도 단행본으로 보는 맛으로 구매했는데 잘 구매한 것 같아요!!! 독자랑 중혁이 그리고 비형이랑 길영이, 유상아와 이현성 포토카드도 이쁘고요!! 폰스트랩은 기대를 너무 많이 했는지 기대치에는 못미치지만 이뻐요!! 잘 쓰겠습니다ㅠㅠ 3, 4권도 빨리 나오면 좋겠어요ㅠㅠ"""
66,2시에 대기타서 구매했어요 ㅎㅎ 소설볼때 함께 실시간으로 달려서 너무 행복했는데 이렇게 웹툰 단행본도 실시간으로 달리니 더욱 좋네요 ㅎㅎ 소설 단행본도 빨리나왔으면 정말 인생소설이여요 ㅠㅠ책도 손상없이 와서 만족입니다 내용은 너무 유명하니 굳이 설명하지 않아도 다들 아니까 ㅎㅎ 그림으로 보는 주인공들을보니 글로 읽을때와 다르게 또다른 두근거림을 주네요박스판도 나왔으면 좋겠어요 ㅎㅎㅎ
67,"""시간을 맞춰서 주문한 한정판입니다. 긴 기다림 끝에 받아서 정말 흡족합니다. 인쇄도 잘 되었고 편집도 만족합니다. 동봉된 인물카드 6장도 질이 괜찮고요. 기대했던 폰 스트랩이 조금 튼튼하지 않아서 실 사용은 안 하고 보관만 하려고 합니다. 원작의 종이책보다도 웹툰이 먼저 나왔다는 게 조금 안타깝지만요. 좋은 퀄로 나올 거라서 늦는다고 스스로 납득하고 있습니다. 양장본으로 나올 거라 믿습니다. 웹툰의 몰입감이 잘 편집되어 있어서 좋았습니다. 주문할 때에 혹시나 폰 스트랩을 놓치지 않을까 염려되어서 대기까지 했는데요. 예스 쪽 창이 일반판과 한정판을 구분이 가지 않게 되어 있어서 주문할 때 번거로움이 있었습니다. 혹시나 싶어서 결제창을 살펴봤더니 일반판을 주문했더라고요. 그나마 초반에 확인해서 일반판을 취소하고 한정판으로 재주문이 가능했지, 만약에 매진되었더라면 어쨌을까 싶습니다. 저처럼 취소하고 재주문하신 분들 제법 많았을 겁니다. 다음부터는 이런 부분을 신경 좀 써주시길 바랍니다."""
68,웹툰 단행본은 내용 다 알고도 구매하지 않나요...?ㅎㅎ 그렇다보니 내용에 대해서는 딱히 쓸 말이 없는 것 같아요. 공개된 부분이기도 하고요. 아직 아날로그인간이라 스크롤을 내리며 보는 것보다 실물책으로 보는 게 더 편하긴 해서 단행본이 나오면 구매하게 되네요...다른 곳보다 품절이 늦어서 구매할 수 있었습니다. 생각보다 세트구성 크기가 작아서 놀랬습니다. 택배상자를 받고 급히 뜯어 상품페이지와 비교해볼 정도로요. 원작 소설의 인기도 많은데 소설도 빨리 출간되면 좋겠습니다...
0,전지걱 독자 시점 2아들이 타사에서 매일매일 하루 한편씩 업데이트 해주는걸 읽어보기에 책으로 소장하게 해주자 싶어 1권을 구매하고 읽어보고 재밌있어 이젠 아들보다 제가 더 좋아하게된 책이런 장르의 책을 읽어보지 않았는데 그림체도 생각보다 내 취향이다 어쩜 그림이 저렇게 리얼하고 그릴수있나 감탄에 감탄을 하면서 페이지를 한장씩 넘겨보고 있어요 내용도 내용이지만 삽화가 더 눈에가네요 이런 장르를 좋아하지 않는 독자도 빠져들게 되는 전독시 너무 재밌고 삽화가 좋아서 다음권도 주문했어요 소장추천합니다 이런책을 소장하고 재탕을 해야해요 한번 읽어볼때랑 재탕할때랑 느낌이 또 다릅니다 꼭 읽어보고 소장하시라 강추합니다
1,기대보다 웹툰에서 전투신이라던가 캐릭터들의 매력 그리고 몹들까지 잘 살린거 같아서 재밌게 봤습니다. 소설로 볼 때는 별 생각없이 넘어갔던 장면들도 있었는데 웹툰으로 만화로 보게 되다 보니 영상과 상상이 다르다는걸 새삼 느끼기도 하고 작가님이 잘 살린 장면들이라던가 실제 눈으로 보게 된 몹들의 모습이라던가 상상과 다르지만 그 나름의 매력이 더 잘살아서 그런가 재밌었어요
2,원작은 연재로 봤었는데 웹툰은 연재로 보기에는 너무 감질나서 책 나오기만 기다렸다가 구매했습니다. 정말 웹툰은 종이책으로 보는게 더 취향이라서요. 넘 연결되면서 보이는게 집중이 안되서 그런가 웹툰은 연재로 못보겠어요 어쨌든 작화도 취향이고 속도감은 물론 캐릭터들의 매력이나 전투신들도 잘 살려서 그런가 웹툰도 정말 좋아요. 몇권까지 나올지는 모르겠지만 우선 소장용으로 계속 구매합니다
3,"""제목만 보고 어떤 내용인지 궁금했는데 아이가 판타지적인 부분도 있고, 아이가 매우 좋아해요. 웹툰이 나오면 제일 먼저 챙겨보고 다 본 후에는 소장하고 싶은지 사고 싶다고 하여 구매해 주고 있어요. 아이가 좋아하니 저도 좋네요. 나오는 족족 열심히 사보려고 합니다. 인기가 많은 웹툰인 것으로 보아 흥미로운 것 같아서 좋네요. 조만간 엄마도 읽어보려고 합니다."""
4,"""전지적 독자 시점 2권 초판 한정 부록 포함입니다.1권에서 독자(주인공 말고 읽는 사람!)들을 혼란스럽게 만들던 부분들이 많이 해소되었고 무엇보다 흡입력이 좋아 쑥쑥 읽혔습니다. 1권에서는 벌레가 나오는 씬이 너무 리얼해서 가렸는데 2권은... 나왔는지 기억이 안나네요....길영이가 벌레를 다루기는 하는데 덩치가 큰 뭐랄까, 자이언트 벌레?를 사용해서 (종 이름은 스포라 비밀) 오히려 비현실적이라 볼 수 있는데 작은게 오밀조밀 모여 있으면 정말.....눈물부터 나는 ㅠㅠㅠㅠㅠ너무 재밌는데 그거 딱 하나 때문에 보기가 힘들어요  """
5,전지적 독자 시점 1권 초판 한정 부록 포함입니다이제 막 시작되는 부분이라 엥...? 음...? 하는 부분이 아직 많아요.특히 성좌물이라는 소재를 거의 처음 접하는거라 진짜 많이 헷갈렸어요. 그래도 지금은 4권까지 발매됐고 웹툰으로는 더 많이 나와서 쭉 몰아보면 아하! 하고 알아차리는 부분이 생겨서 읽기 쉬워졌습니다. 흡입력도 좋고요.단지 벌레를 전혀 못 보는데 그 부분이 너무 리얼하게 그려저서......ㅠㅠㅠ 아예 포스트잇 붙여서 가려놨습니다... 1권에 정말정말 큼직하게 나오니까 마찬가지로 벌레 못 보시는 분은 주의하세요.
6,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 워낙에 유명한 작품이니 스토리등에 관련하여서는 모두가 잘 알고 있을 것이라 생각 됩니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. """
7,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. 이제 4권이 나왔는데 아마 꽤나 긴 장편이 될 것 같아 마음의 준비를 하고 모아야겠습니다. """
8,"""전지적 독자시점 1권 싱숑원작 작품입니다.주위의 추천으로 구매하게 된 책입니다.엄청난 유명작인 건 알지만 원작을 보지 않고 이렇게 책으로 접하였는데요,많은 분들이 캐릭터에 대한 호불호가 있는 것 같더라구요.저는 원작을 보지 않아서 글 분위기라던지 그런걸 못 느껴서 캐릭터 이미지가 괜찮다고 느꼈습니다.초입부 내용이라 앞으로 전개를 지켜봐야겠어요."""
9,전지적 독자 시점 2권 싱숑원작 작품입니다.이 작품은 주변의 추천으로 구매를 하게 되었는데 아직도 초판이 남아 있는 걸로 보아 인쇄를 좀 많이 찍어나 싶습니다.해외판보다는 많이 아쉬운 구성인데 요즘 우리나라 웹툰임에도 국내 독자들 보다해외 독자들을 더 신경 써주면서 가격대비 굿즈 구성도 좋지도 않게 나옵니다.그래도 부록이 없는 것 보다는 낫긴합니다.그림도 좋아서 눈이 즐겁네요.
10,"""원작이 한창 연재 중에는 소문만 들었다가 완결 난 뒤에 친구의 추천으로 읽게 된 소설이었는데, 웹툰으로 나온다는 말에 또 이 작품까지 구매하게 되었습니다. 제가 예상했던 그림체와는 조금 달랐지만, 어쩌면 그래서 더 신선하게 볼 수 있었던 작품인 듯합니다. 이미 내용은 알고 있기에 약간 무감할 수도 있던 장면을 새로운 느낌으로 볼 수 있었으니까요. 다음 권도 기대하겠습니다."""
11,"""원작인 소설이 워낙 대박을 친 대메이저 작이고 저도 그 매력에 빠진 독자 중 한명이라 솔직히 웹툰에 대한 기대도 컸었는데, 이 정도면 나름 원작의 매력을 잘 뽑은 각색과 작화라고 생각해서 만족스러웠습니다. 각 인물들 포인트도 잘 잡은 것 같고 활자와 제 상상으로만 이루어졌던 존재들이 좀 더 생생하게 와닿아서 좋았어요. 조금 아쉬운 부분들도 있었지만 꾸준히 볼 것 같습니다."""
12,원작을 정말 좋아해서 웹툰 나온다는 이야기를 듣고 굉장히 기대가 컸었습니다. 그리고 기대했던 만큼 잘 뽑힌 웹툰 중 하나라고 생각해요. 아쉬운 점이 없었다고는 못하겠지만 작화도 괜찮고 각색도 나름 웹툰에 잘 맞게 적용된 것 같습니다. 웹툰 단행본 나온다는 소식에 기다렸다가 바로 질렀던 건데 후회는 없어요. 활자 너머와 제 상상속에서만 존재하던 것들이 눈 앞에 생생히 잘 구현된 느낌이라 즐겁게 잘 봤습니다. 다만 이미 웹툰 연재 분을 완소하고 있기도 하고 원작 자체가 워낙 장편이다 보니 웹툰화 특성상 권수의 압박이 장난이 아닐 것 같다는 생각 때문에 웹툰 단행본을 계속 모을지는 잘 모르겠어요 ㅠㅠ
13,전지적 독자시점 2권입니다 전지적 독자시점은 워낙 유명해서 알고는 있었는데 소설의 양이 너무 방대해서 업두를 못내고 있었는데 어느날 웹툰이 나왔다고 해서 잘됐다 하면서 웹툰을 봤는데 그림체랑 내용이 정말 찰떡이여서 하루만에 다 봐버렸네요 ㅎㅎ 그 다음 내용이 너무 궁금해서 바로 소설도 질러서 봐버렸네요 ㅎㅎ 진짜 사람들이 왜 그렇게 좋아하는지 알 것 같습니다 ㅎ 웹툰이 나와서 바로 질렀습니다 다음권이랑 소설도 단행본이 나오면 같이 지를 생각입니다 ㅎ
14,전지적 독자시점 1권입니다 예전부터 많이 들어왔고 인기도 엄청나다는 걸 알고있었는데 소설로는 화수가 너무 많아서 업두를 못내고 있었는데 웹툰으로 나와서 바로 보기 시작했습니다 그런데 내용이 너무 재밌어서 웹툰 현재편까지 다보고 소설로 정주행하기 시작했습니다 완결이 난 소설이라 다음화를 기다릴 필요도 없어서 너무 좋았습니다 그러다가 단행본이 나오고 심지어 부록까지 취향이여서 바로 구매했습니다 ㅎㅎ 소설화수가 너무 많아서 웹툰으로는 완결나는데 몇 십년은 걸릴것 같지만 같이 달리겠습니다 ㅎㅎ
15,"""슬리피-c 글그림, 싱숑 원작의 웹툰 전지적 독자시점2 리뷰입니다.1권을 읽고 2권을 얼른 읽었네요.그림체가 너무 취향 저격이고, 글이 아니라 그림이니 더 가독성이 좋았던 것 같습니다.캐릭터마다 생명을 불어넣으니 다들 주요 인물들 같고, 기억도 잘 되는데요. 무엇보다 그 내용이 눈에 보이는 것 같아 아주 시각효과가 좋은 것 같습니다.3권, 4권도 얼른 출간되었으며 좋겠습니다."""
16,"""싱숑 원작, 슬리피-c 글그림의 전지적 독자 시점 1권 리뷰입니다.남자주인공 너무 잘생기게 잘 그려주셔서 몰입감이 최고였어요.남자주인공 뿐만 아니라 인물들을 얼마나 예쁘고 잘생기게 그려주셨는지 아주 즐거웠습니다.또한 판타지를 현실로 구현하고, 특히나 전투신은 잘 그리셔서 어렵지 않게 술술 읽었습니다.그림이 취향저격이라 너무 재밌게 읽었구요, 원작도 많이 기대가 됩니다.2권도 빨리 읽어야겠어요. """
17,"""                째진다. 초판 세트 구매 시에만 주는 줄로 잘못 알고 있었는데 캐릭터 카드가 동봉돼 있다.지금 보면 버젓이 상품명 옆에 그것도 파랗게 강조돼서 쓰여 있구만 왜 몰랐는지 모를 일이다.대대손손 물려줄 거다. 유중혁 잘생겼고, 김독자 잘생겼고, 재밌고, 재밌고, 구매자라면 모두가 입을 모아 칭찬하는 표지 재질은 말할 것도 없고. (같은 시리즈끼리 부대끼면 조금만 공간이 딱 맞아도 집어넣기 힘겨울 것이 보이지만, 아무래도 좋다.)웹툰 완결까지 얼마나 남았을까 생각하면 아주 암담하다. 또 모두가 목이 빠져라 바라보고 있는 소설 단행본은 언제 나와 주려나. 웹소설로만 장장 500화니까 벽돌 같이 생겨서는 열 권도 거뜬히 넘길 텐데 나오면 모으고 나오면 모으다가 대체 언제 끝이 나려나.설렌당 ><*어디까지나 주관적인 의견. 선택은 리뷰 뒤지러 온 본인 몫."""
18,이건 ㄹㅇ 갓띵작 진짜 꼭 읽으셈 근데 이거 표지재질이 ㄹㅇ 남들말대로 뭔가 독특함 벨벳재질???암튼 그럼 이런 표지 처음 만져봄근데 퀄 겁나 높고 그 만화책은  그 배열이 잘되어있어야 하잖슴?이거 보기 편하고 완전 딱딱 맞춰져있어서 진짜 좋음 ㄹㅇㄹㅇ이거 왜 안읽어??진짜 추천하는 시리즈....아직도 전독시 안읽어본거 아니지...........?에이 설마 ㅋㅋㅋ 아무튼 꼭 읽어보셈 후회안함 ㄹㅇ 내 인생작....그림체 존잘이라구여ㅠㅠㅠ
19,전지적 독자 시점 1권 (슬리피-C그림/UMI 각색/싱숑 원저)에이템포미디어 | 2020년 12월 22일네이버 웹툰으로 보다가 너무 재미있어서 책으로도 구매했는데 웹툰이랑 보는 방식이 다르다보니 또 새롭네요.표지도 다른책들이랑 다른 느낌이라 괜찮고 소장용으로 사기 딱 좋은 것 같아요. 다음 권도 구매할 생각입니다:)
20,"""원작을 재밌게 봐서 만화도 구입했는데 각색이랑 그림도 완벽해서 재밌게 봤네요ㅠㅠ소설에서는 상상만 했던 묘사나 주인공들 표정을 만화로 보는 재미가 있었어요 ㅎㅎ소설이 현실이 된 세계에서 살아남기 위해 고군분투하는 주인공들이 인상깊었습니다. 초반이라 지하철에서 생명 죽여야하는 퀘스트, 그리고 지하철 벗어나는 그런 장면만 담겨있는데 웹소 흐름 제대로 따라가서 좋았어요."""
21,"""하나의 세상이 멸망하고 다른 세계가 태어나려 하고 있었다. 그리고 나는, 이 세계의 결말을 아는 유일한 독자다. 한 가지는 확실하다. 지금 이 글을 읽는 당신이 살아남을 거란 사실.전지적 독자 시점 1권 리뷰입니다 진짜 소설을 너무 재밌게 읽어서 웹툰으로 나온다는 소식에 넘 즐거웠고 재밌게 잘보고 있었는데 웹툰소장본도 있다니 진짜 넘 행복해요 제가 생각만 하던 이야기가 눈앞에서 그려지니까 볼떄마다 넘좋아요 """
22,"""놈이 온다. 이 이야기의 ‘진짜’ 주인공. 나는 네놈을 좋아했고, 싫어했고, 원망했고, 응원했다. 그렇게 3천 편의 이야기를 함께했다.전지적 독자 시점 2권 리뷰입니다. 1권에 이어 2권도 소장하게되어 너무 좋아요 원래 재탕을 좋아해서 웹툰말고도 소장본을 구매하게되었는데 후회 없습니다 아직 너무 초반이라 이런저런 할말이 없지만 앞으로 너무 기대됩니다 """
